CASEID,YEAR,SAVING,MMDA
1252,1989,0,0
1253,1989,0,0
1254,1989,0,0
1255,1989,0,0
1256,1989,0,0
1257,1989,0,0
1258,1989,0,0
1259,1989,0,0
1260,1989,0,0
1261,1989,0,0
1262,1989,0,0
1263,1989,0,0
1264,1989,0,0
1265,1989,0,0
1266,1989,0,0
1267,1989,0,0
1268,1989,0,0
1269,1989,0,0
1270,1989,0,0
1271,1989,0,0
1272,1989,0,0
1273,1989,0,0
1274,1989,0,0
1275,1989,0,0
1276,1989,0,0
1277,1989,0,0
1278,1989,0,0
1279,1989,0,0
1280,1989,0,0
1281,1989,1446.06,0
1282,1989,1446.06,0
1283,1989,1446.06,0
1284,1989,1446.06,0
1285,1989,1446.06,0
1286,1989,7501.42,0
1287,1989,7501.42,0
1288,1989,7501.42,0
1289,1989,7501.42,0
1290,1989,7501.42,0
1291,1989,0,0
1292,1989,0,0
1293,1989,0,0
1294,1989,0,0
1295,1989,0,0
1296,1989,3615.14,0
1297,1989,3615.14,0
1298,1989,3615.14,0
1299,1989,3615.14,0
